Series_Title,Released_Year,Director,IMDB_Rating,revenue_millions,votes
"Star Wars: Episode VII - The Force Awakens",2015,"J.J. Abrams",7.9,$937M,"860,823"
"Avengers: Endgame",2019,"Anthony Russo",8.4,$858M,"809,955"
Avatar,2009,"James Cameron",7.8,$761M,"1,118,998"
"Avengers: Infinity War",2018,"Anthony Russo",8.4,$679M,"834,477"
Titanic,1997,"James Cameron",7.8,$659M,"1,046,089"
"The Avengers",2012,"Joss Whedon",8.0,$623M,"1,260,806"
"Incredibles 2",2018,"Brad Bird",7.6,$609M,"250,057"
"The Dark Knight",2008,"Christopher Nolan",9.0,$535M,"2,303,232"
"Rogue One",2016,"Gareth Edwards",7.8,$532M,"556,608"
"The Dark Knight Rises",2012,"Christopher Nolan",8.4,$448M,"1,516,346"
"E.T. the Extra-Terrestrial",1982,"Steven Spielberg",7.8,$435M,"372,490"
"Toy Story 4",2019,"Josh Cooley",7.8,$434M,"203,177"
"The Lion King",1994,"Roger Allers",8.5,$423M,"942,045"
"Toy Story 3",2010,"Lee Unkrich",8.2,$415M,"757,032"
"Captain America: Civil War",2016,"Anthony Russo",7.8,$408M,"663,649"
