Director,movie_count,avg_rating,lowest_rating,highest_rating,total_votes
"Alfred Hitchcock",14,8.01,7.6,8.5,"2,696,577"
"Steven Spielberg",13,8.03,7.6,8.9,"7,817,166"
"Hayao Miyazaki",11,8.02,7.7,8.6,"2,348,718"
"Akira Kurosawa",10,8.22,8.0,8.6,"941,599"
"Martin Scorsese",10,8.17,7.7,8.7,"6,513,530"
"Stanley Kubrick",9,8.23,7.9,8.4,"3,919,254"
"Billy Wilder",9,8.14,7.7,8.4,"1,037,903"
"Woody Allen",9,7.79,7.6,8.0,"1,222,508"
"Christopher Nolan",8,8.46,7.8,9.0,"11,578,345"
"Quentin Tarantino",8,8.18,7.6,8.9,"8,123,208"
"David Fincher",8,8.04,7.7,8.8,"6,607,859"
"Clint Eastwood",8,7.91,7.6,8.2,"2,683,825"
"Ingmar Bergman",7,8.14,8.1,8.2,"506,073"
"Howard Hawks",7,7.86,7.8,8.0,"328,463"
"Rob Reiner",7,7.83,7.6,8.1,"1,583,349"
