Series_Title,Released_Year,IMDB_Rating,Director,formatted_votes,revenue
"The Shawshank Redemption",1994,9.3,"Frank Darabont","2,343,110",$28.3M
"The Godfather",1972,9.2,"Francis Ford Coppola","1,620,367",$135.0M
"The Dark Knight",2008,9.0,"Christopher Nolan","2,303,232",$534.9M
"The Godfather: Part II",1974,9.0,"Francis Ford Coppola","1,129,952",$57.3M
"12 Angry Men",1957,9.0,"Sidney Lumet","689,845",$4.4M
"Pulp Fiction",1994,8.9,"Quentin Tarantino","1,826,188",$107.9M
"The Lord of the Rings: The Return of the King",2003,8.9,"Peter Jackson","1,642,758",$377.8M
"Schindler's List",1993,8.9,"Steven Spielberg","1,213,505",$96.9M
Inception,2010,8.8,"Christopher Nolan","2,067,042",$292.6M
"Fight Club",1999,8.8,"David Fincher","1,854,740",$37.0M
"Forrest Gump",1994,8.8,"Robert Zemeckis","1,809,221",$330.3M
"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,"Peter Jackson","1,661,481",$315.5M
"Il buono, il brutto, il cattivo",1966,8.8,"Sergio Leone","688,390",$6.1M
"The Matrix",1999,8.7,"Lana Wachowski","1,676,426",$171.5M
"The Lord of the Rings: The Two Towers",2002,8.7,"Peter Jackson","1,485,555",$342.6M
