Series_Title,Released_Year,IMDB_Rating,revenue_millions,votes,success_category
"The Shawshank Redemption",1994,9.3,$28.3M,"2,343,110","Critical Darling"
"The Godfather",1972,9.2,$135.0M,"1,620,367","Critical & Commercial Hit"
"The Dark Knight",2008,9.0,$534.9M,"2,303,232","Blockbuster Masterpiece"
"The Godfather: Part II",1974,9.0,$57.3M,"1,129,952","Critical Darling"
"12 Angry Men",1957,9.0,$4.4M,"689,845","Critical Darling"
"The Lord of the Rings: The Return of the King",2003,8.9,$377.8M,"1,642,758","Blockbuster Masterpiece"
"Pulp Fiction",1994,8.9,$107.9M,"1,826,188","Critical & Commercial Hit"
"Schindler's List",1993,8.9,$96.9M,"1,213,505","Critical Darling"
"Forrest Gump",1994,8.8,$330.3M,"1,809,221","Blockbuster Masterpiece"
"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,$315.5M,"1,661,481","Blockbuster Masterpiece"
Inception,2010,8.8,$292.6M,"2,067,042","Critical & Commercial Hit"
"Fight Club",1999,8.8,$37.0M,"1,854,740","Critical Darling"
"Il buono, il brutto, il cattivo",1966,8.8,$6.1M,"688,390","Critical Darling"
"The Lord of the Rings: The Two Towers",2002,8.7,$342.6M,"1,485,555","Blockbuster Masterpiece"
"Star Wars: Episode V - The Empire Strikes Back",1980,8.7,$290.5M,"1,159,315","Critical & Commercial Hit"
"The Matrix",1999,8.7,$171.5M,"1,676,426","Critical & Commercial Hit"
"One Flew Over the Cuckoo's Nest",1975,8.7,$112.0M,"918,088","Critical & Commercial Hit"
Goodfellas,1990,8.7,$46.8M,"1,020,727","Critical Darling"
"Star Wars",1977,8.6,$322.7M,"1,231,473","Blockbuster Masterpiece"
"Saving Private Ryan",1998,8.6,$216.5M,"1,235,804","Critical & Commercial Hit"
Interstellar,2014,8.6,$188.0M,"1,512,360","Critical & Commercial Hit"
"The Green Mile",1999,8.6,$136.8M,"1,147,794","Critical & Commercial Hit"
"The Silence of the Lambs",1991,8.6,$130.7M,"1,270,197","Critical & Commercial Hit"
Se7en,1995,8.6,$100.1M,"1,445,096","Critical & Commercial Hit"
"La vita e bella",1997,8.6,$57.6M,"623,629","Critical Darling"
