Director,movies_with_revenue,avg_revenue_millions,avg_rating,blockbusters_200m_plus
"Anthony Russo",4,551,8.08,4
"J.J. Abrams",3,474,7.83,3
"James Cameron",5,350,8.08,3
"David Yates",3,326,7.80,3
"Peter Jackson",5,319,8.40,5
"Pete Docter",3,313,8.13,3
"Brad Bird",4,275,7.90,3
"Christopher Nolan",8,242,8.46,4
"Robert Zemeckis",5,210,8.12,3
"Ron Clements",3,193,7.73,2
"Steven Spielberg",13,191,8.03,5
"Sam Mendes",4,175,8.00,1
"Paul Greengrass",3,170,7.83,1
"Bryan Singer",3,158,8.13,2
"James Mangold",4,129,7.93,1
