Director,total_movies,avg_rating,excellent_movies,avg_revenue_millions,total_audience_votes,avg_votes_per_movie
"Christopher Nolan",8,8.46,7,242,"11,578,345",1447293
"Francis Ford Coppola",5,8.40,3,69,"3,815,137",763027
"Peter Jackson",5,8.40,3,319,"6,148,579",1229716
"Charles Chaplin",6,8.33,6,2,"833,442",138907
"Sergio Leone",6,8.27,5,8,"1,763,734",293956
"Stanley Kubrick",9,8.23,8,31,"3,919,254",435473
"Akira Kurosawa",10,8.22,10,1,"941,599",94160
"Frank Capra",4,8.20,4,7,"671,935",167984
"Quentin Tarantino",8,8.18,6,91,"8,123,208",1015401
"Rajkumar Hirani",4,8.18,4,6,"624,635",156159
"Martin Scorsese",10,8.17,7,54,"6,513,530",651353
"Bong Joon Ho",3,8.17,2,18,"745,094",248365
"Billy Wilder",9,8.14,7,12,"1,037,903",115323
"Ingmar Bergman",7,8.14,7,3,"506,073",72296
"Pete Docter",4,8.13,4,313,"2,526,411",631603
