Released_Year,total_movies,avg_rating,blockbusters,avg_revenue_millions,top_genre_that_year
2020,6,8.13,0,NULL,"Biography, Drama, History"
2019,23,8.00,3,150,"Comedy, Drama, Thriller"
2018,19,7.99,6,186,Drama
2017,22,7.89,4,103,"Biography, Drama, History"
2016,28,7.94,5,113,"Animation, Drama, Fantasy"
2015,25,7.87,3,107,"Crime, Drama, Mystery"
2014,32,7.92,6,89,"Adventure, Drama, Sci-Fi"
2013,28,7.92,3,48,"Crime, Drama, Thriller"
2012,24,7.94,4,121,"Drama, Western"
2011,18,7.88,1,61,"Biography, Comedy, Drama"
2010,23,7.90,6,113,"Action, Adventure, Sci-Fi"
2009,29,7.87,7,117,"Comedy, Drama"
2008,21,7.92,3,108,"Action, Crime, Drama"
2007,26,7.88,2,39,"Drama, Family"
2006,26,7.89,1,50,"Drama, Mystery, Sci-Fi"
2005,17,7.89,2,68,"Drama, Family"
2004,31,7.87,2,50,"Drama, Romance, Sci-Fi"
2003,22,7.95,3,71,"Action, Adventure, Drama"
2002,19,7.90,1,62,"Action, Adventure, Drama"
2001,27,7.90,4,84,"Action, Adventure, Drama"
2000,19,7.96,1,53,"Action, Adventure, Drama"
